date,year,quarter,month,month_name,day
2016-01-01,2016,1,1,January,1
2016-01-02,2016,1,1,January,2
2016-01-03,2016,1,1,January,3
2016-01-04,2016,1,1,January,4
2016-01-05,2016,1,1,January,5
2016-01-06,2016,1,1,January,6
2016-01-07,2016,1,1,January,7
2016-01-08,2016,1,1,January,8
2016-01-09,2016,1,1,January,9
2016-01-10,2016,1,1,January,10
2016-01-11,2016,1,1,January,11
2016-01-12,2016,1,1,January,12
2016-01-13,2016,1,1,January,13
2016-01-14,2016,1,1,January,14
2016-01-15,2016,1,1,January,15
2016-01-16,2016,1,1,January,16
2016-01-17,2016,1,1,January,17
2016-01-18,2016,1,1,January,18
2016-01-19,2016,1,1,January,19
2016-01-20,2016,1,1,January,20
2016-01-21,2016,1,1,January,21
2016-01-22,2016,1,1,January,22
2016-01-23,2016,1,1,January,23
2016-01-24,2016,1,1,January,24
2016-01-25,2016,1,1,January,25
2016-01-26,2016,1,1,January,26
2016-01-27,2016,1,1,January,27
2016-01-28,2016,1,1,January,28
2016-01-29,2016,1,1,January,29
2016-01-30,2016,1,1,January,30
2016-01-31,2016,1,1,January,31
2016-02-01,2016,1,2,February,1
2016-02-02,2016,1,2,February,2
2016-02-03,2016,1,2,February,3
2016-02-04,2016,1,2,February,4
2016-02-05,2016,1,2,February,5
2016-02-06,2016,1,2,February,6
2016-02-07,2016,1,2,February,7
2016-02-08,2016,1,2,February,8
2016-02-09,2016,1,2,February,9
2016-02-10,2016,1,2,February,10
2016-02-11,2016,1,2,February,11
2016-02-12,2016,1,2,February,12
2016-02-13,2016,1,2,February,13
2016-02-14,2016,1,2,February,14
2016-02-15,2016,1,2,February,15
2016-02-16,2016,1,2,February,16
2016-02-17,2016,1,2,February,17
2016-02-18,2016,1,2,February,18
2016-02-19,2016,1,2,February,19
2016-02-20,2016,1,2,February,20
2016-02-21,2016,1,2,February,21
2016-02-22,2016,1,2,February,22
2016-02-23,2016,1,2,February,23
2016-02-24,2016,1,2,February,24
2016-02-25,2016,1,2,February,25
2016-02-26,2016,1,2,February,26
2016-02-27,2016,1,2,February,27
2016-02-28,2016,1,2,February,28
2016-02-29,2016,1,2,February,29
2016-03-01,2016,1,3,March,1
2016-03-02,2016,1,3,March,2
2016-03-03,2016,1,3,March,3
2016-03-04,2016,1,3,March,4
2016-03-05,2016,1,3,March,5
2016-03-06,2016,1,3,March,6
2016-03-07,2016,1,3,March,7
2016-03-08,2016,1,3,March,8
2016-03-09,2016,1,3,March,9
2016-03-10,2016,1,3,March,10
2016-03-11,2016,1,3,March,11
2016-03-12,2016,1,3,March,12
2016-03-13,2016,1,3,March,13
2016-03-14,2016,1,3,March,14
2016-03-15,2016,1,3,March,15
2016-03-16,2016,1,3,March,16
2016-03-17,2016,1,3,March,17
2016-03-18,2016,1,3,March,18
2016-03-19,2016,1,3,March,19
2016-03-20,2016,1,3,March,20
2016-03-21,2016,1,3,March,21
2016-03-22,2016,1,3,March,22
2016-03-23,2016,1,3,March,23
2016-03-24,2016,1,3,March,24
2016-03-25,2016,1,3,March,25
2016-03-26,2016,1,3,March,26
2016-03-27,2016,1,3,March,27
2016-03-28,2016,1,3,March,28
2016-03-29,2016,1,3,March,29
2016-03-30,2016,1,3,March,30
2016-03-31,2016,1,3,March,31
2016-04-01,2016,2,4,April,1
2016-04-02,2016,2,4,April,2
2016-04-03,2016,2,4,April,3
2016-04-04,2016,2,4,April,4
2016-04-05,2016,2,4,April,5
2016-04-06,2016,2,4,April,6
2016-04-07,2016,2,4,April,7
2016-04-08,2016,2,4,April,8
2016-04-09,2016,2,4,April,9
2016-04-10,2016,2,4,April,10
2016-04-11,2016,2,4,April,11
2016-04-12,2016,2,4,April,12
2016-04-13,2016,2,4,April,13
2016-04-14,2016,2,4,April,14
2016-04-15,2016,2,4,April,15
2016-04-16,2016,2,4,April,16
2016-04-17,2016,2,4,April,17
2016-04-18,2016,2,4,April,18
2016-04-19,2016,2,4,April,19
2016-04-20,2016,2,4,April,20
2016-04-21,2016,2,4,April,21
2016-04-22,2016,2,4,April,22
2016-04-23,2016,2,4,April,23
2016-04-24,2016,2,4,April,24
2016-04-25,2016,2,4,April,25
2016-04-26,2016,2,4,April,26
2016-04-27,2016,2,4,April,27
2016-04-28,2016,2,4,April,28
2016-04-29,2016,2,4,April,29
2016-04-30,2016,2,4,April,30
2016-05-01,2016,2,5,May,1
2016-05-02,2016,2,5,May,2
2016-05-03,2016,2,5,May,3
2016-05-04,2016,2,5,May,4
2016-05-05,2016,2,5,May,5
2016-05-06,2016,2,5,May,6
2016-05-07,2016,2,5,May,7
2016-05-08,2016,2,5,May,8
2016-05-09,2016,2,5,May,9
2016-05-10,2016,2,5,May,10
2016-05-11,2016,2,5,May,11
2016-05-12,2016,2,5,May,12
2016-05-13,2016,2,5,May,13
2016-05-14,2016,2,5,May,14
2016-05-15,2016,2,5,May,15
2016-05-16,2016,2,5,May,16
2016-05-17,2016,2,5,May,17
2016-05-18,2016,2,5,May,18
2016-05-19,2016,2,5,May,19
2016-05-20,2016,2,5,May,20
2016-05-21,2016,2,5,May,21
2016-05-22,2016,2,5,May,22
2016-05-23,2016,2,5,May,23
2016-05-24,2016,2,5,May,24
2016-05-25,2016,2,5,May,25
2016-05-26,2016,2,5,May,26
2016-05-27,2016,2,5,May,27
2016-05-28,2016,2,5,May,28
2016-05-29,2016,2,5,May,29
2016-05-30,2016,2,5,May,30
2016-05-31,2016,2,5,May,31
2016-06-01,2016,2,6,June,1
2016-06-02,2016,2,6,June,2
2016-06-03,2016,2,6,June,3
2016-06-04,2016,2,6,June,4
2016-06-05,2016,2,6,June,5
2016-06-06,2016,2,6,June,6
2016-06-07,2016,2,6,June,7
2016-06-08,2016,2,6,June,8
2016-06-09,2016,2,6,June,9
2016-06-10,2016,2,6,June,10
2016-06-11,2016,2,6,June,11
2016-06-12,2016,2,6,June,12
2016-06-13,2016,2,6,June,13
2016-06-14,2016,2,6,June,14
2016-06-15,2016,2,6,June,15
2016-06-16,2016,2,6,June,16
2016-06-17,2016,2,6,June,17
2016-06-18,2016,2,6,June,18
